MetricType,UtilInfo.version,UtilInfo.metricType,UtilInfo.frequency,UtilInfo.mtms,UtilInfo.name,UtilInfo.uuid,SampleInfo.timeStamp,SampleInfo.numOfSamplesAggregated,SampleInfo.status,ViosUtil.id,ViosUtil.uuid,ViosUtil.name,ViosUtil.state,EnergyPowerUtil.powerReading,EnergyThermalUtil.entityId,EnergyThermalUtil.entityInstance,EnergyThermalUtil.temperatureReading,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T12:00:00-0500,24,0,-,-,-,-,1376.379,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T12:00:00-0500,24,0,-,-,-,-, 1333,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T12:00:00-0500,24,0,-,-,-,-, 1469,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T14:00:00-0500,24,0,-,-,-,-,1381.346,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T14:00:00-0500,24,0,-,-,-,-, 1334,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T14:00:00-0500,24,0,-,-,-,-, 1470,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T16:00:00-0500,24,0,-,-,-,-,1382.204,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T16:00:00-0500,24,0,-,-,-,-, 1343,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T16:00:00-0500,24,0,-,-,-,-, 1474,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T18:00:00-0500,24,0,-,-,-,-,1387.263,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T18:00:00-0500,24,0,-,-,-,-, 1344,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T18:00:00-0500,24,0,-,-,-,-, 1472,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T20:00:00-0500,24,0,-,-,-,-,1376.233,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-26T20:00:00-0500,24,0,-,-,-,-, 1332,1,Inlet, 22,
