VIOS / vfcHost,Traffic trends,Traffic,Read,Write,No of reads,No of writes,Partition name,Fiber channel port name
SLO1080VIOS1, , , , , , , , 
vfchost17,,20.534,19.387,1.147,389.752,147.211,PRD_WSA,fcs20
vfchost55,,0.021,0.007,0.014,1.5,2.316,PRD_DEVLG,fcs20
vfchost135,,13.13,12.798,0.332,733.685,48.737,PRD_DWA,fcs20
vfchost32,,0.997,0.823,0.174,19.101,17.448,PRD_TDCA,fcs6
vfchost50,,6.39,5.94,0.449,104.676,59.178,PRD_LDCA,fcs6
vfchost31,,15.969,0.238,15.73,4.712,575.336,PRD_TDCA,fcs7
vfchost11,,13.986,9.037,4.949,584.325,253.554,PRD_PRODC,fcs7
vfchost49,,0.934,0.362,0.572,13.555,48.337,PRD_LDCA,fcs7
vfchost99,,0.056,0.036,0.021,0.802,2.035,PRD_TDCA_FC,fcs23
vfchost69,,0.811,0.668,0.143,11.632,18.231,PRD_LINKA_FC,fcs23
vfchost114,,0.062,0.038,0.024,0.923,2.404,PRD_LDCA_FC,fcs23
vfchost104,,0.088,0.06,0.028,1.563,2.803,PRD_DEVA_FC,fcs23
vfchost124,,0.12,0.085,0.035,1.842,3.319,PRD_ALLENEDM_FC,fcs23
vfchost79,,0.126,0.091,0.035,2.234,3.637,PRD_PRODC_FC,fcs23
vfchost89,,0.049,0.03,0.019,0.612,1.894,PRD_PRODN_FC,fcs23
vfchost36,,0.491,0.291,0.2,9.415,14.031,PRD_KRAMER,fcs21
vfchost16,,1.713,0.667,1.046,41.326,138.253,PRD_WSA,fcs21
vfchost54,,0.463,0.314,0.15,5.225,10.558,PRD_DEVLG,fcs21
vfchost134,,0.448,0.259,0.189,9.364,11.656,PRD_DWA,fcs21
vfchost111,,0.042,0.039,0.003,0.313,0.339,PRD_OPRA_FC,fcs19
vfchost96,,5.442,5.429,0.013,23.813,1.616,PRD_ECOMMA_FC,fcs19
vfchost131,,0.482,0.471,0.01,4.006,1.515,PRD_AEDEV_FC,fcs19
vfchost76,,11.208,11.096,0.112,63.997,12.571,PRD_PRODA_FC,fcs19
vfchost141,,6.514,6.508,0.006,26.966,1.001,PRD_DWA_FC,fcs19
vfchost121,,0.355,0.347,0.008,3.368,1.294,PRD_DEVLG_FC,fcs19
vfchost86,,10.507,10.488,0.019,47.291,2.22,PRD_WSA_FC,fcs19
vfchost108,,0.04,0.024,0.016,0.428,1.441,PRD_OPRA_FC,fcs18
vfchost93,,0.061,0.037,0.024,0.889,2.567,PRD_ECOMMA_FC,fcs18
vfchost128,,0.092,0.062,0.03,1.32,2.812,PRD_AEDEV_FC,fcs18
vfchost73,,0.118,0.076,0.042,2.542,3.364,PRD_PRODA_FC,fcs18
vfchost138,,0.046,0.029,0.017,0.638,1.632,PRD_DWA_FC,fcs18
vfchost118,,0.08,0.057,0.024,1.343,2.196,PRD_DEVLG_FC,fcs18
vfchost83,,0.084,0.053,0.031,1.785,2.629,PRD_WSA_FC,fcs18
vfchost59,,6.267,0.74,5.528,18.825,229.918,PRD_ALLENEDM,fcs3
vfchost39,,7.799,2.155,5.645,24.192,212.448,PRD_DEVA,fcs3
vfchost1,,2.572,1.202,1.37,17.677,87.652,PRD_LINKA,fcs3
vfchost21,,1.427,0.442,0.985,6.634,57.787,PRD_PRODN,fcs3
vfchost60,,1.041,0.891,0.149,28.924,20.659,PRD_ALLENEDM,fcs2
vfchost40,,1.293,1.13,0.163,27.672,20.557,PRD_DEVA,fcs2
vfchost2,,2.858,1.319,1.539,44.425,275.183,PRD_LINKA,fcs2
vfchost22,,0.944,0.553,0.391,8.137,36.745,PRD_PRODN,fcs2
vfchost110,,0.043,0.04,0.003,0.32,0.344,PRD_OPRA_FC,fcs24
vfchost95,,5.499,5.485,0.014,24.065,1.652,PRD_ECOMMA_FC,fcs24
vfchost130,,0.515,0.505,0.011,4.196,1.561,PRD_AEDEV_FC,fcs24
vfchost75,,11.325,11.21,0.115,65.004,12.911,PRD_PRODA_FC,fcs24
vfchost140,,6.74,6.734,0.006,27.879,1.025,PRD_DWA_FC,fcs24
vfchost120,,0.36,0.352,0.008,3.408,1.319,PRD_DEVLG_FC,fcs24
vfchost85,,10.524,10.504,0.02,47.409,2.26,PRD_WSA_FC,fcs24
vfchost33,,0.981,0.802,0.179,19.08,18.17,PRD_TDCA,fcs13
vfchost13,,227.684,226.825,0.859,2927.259,90.538,PRD_PRODC,fcs13
vfchost51,,6.354,5.891,0.464,104.838,61.524,PRD_LDCA,fcs13
vfchost109,,0.041,0.025,0.016,0.438,1.468,PRD_OPRA_FC,fcs25
vfchost94,,0.062,0.038,0.024,0.897,2.63,PRD_ECOMMA_FC,fcs25
vfchost129,,0.095,0.064,0.03,1.34,2.875,PRD_AEDEV_FC,fcs25
vfchost74,,0.12,0.078,0.042,2.58,3.427,PRD_PRODA_FC,fcs25
vfchost139,,0.048,0.031,0.017,0.654,1.674,PRD_DWA_FC,fcs25
vfchost119,,0.083,0.059,0.024,1.37,2.264,PRD_DEVLG_FC,fcs25
vfchost84,,0.087,0.055,0.032,1.813,2.715,PRD_WSA_FC,fcs25
vfchost30,,16.006,0.225,15.782,4.705,578.054,PRD_TDCA,fcs12
vfchost10,,13.969,8.997,4.972,594.332,255.704,PRD_PRODC,fcs12
vfchost48,,0.929,0.349,0.579,13.644,49.459,PRD_LDCA,fcs12
vfchost12,,247.322,246.452,0.87,3077.344,91.044,PRD_PRODC,fcs4
vfchost45,,0.002,0.0,0.002,0.201,0.237,PRD_OPRA,fcs4
vfchost65,,0.076,0.072,0.004,17.928,0.755,PRD_AEDEV,fcs4
