MetricType,UtilInfo.version,UtilInfo.metricType,UtilInfo.frequency,UtilInfo.mtms,UtilInfo.name,UtilInfo.uuid,SampleInfo.timeStamp,SampleInfo.numOfSamplesAggregated,SampleInfo.status,ErrorInfo.errId,ErrorInfo.errMsg,ErrorInfo.uuid,ErrorInfo.reportedBy,ErrorInfo.occurrenceCount,SystemFirmwareUtil.utilizedProcUnits,SystemFirmwareUtil.assignedMem,SystemProcessor.totalProcUnits,SystemProcessor.utilizedProcUnits,SystemProcessor.utilizedProcUnitsDeductIdle,SystemProcessor.availableProcUnits,SystemProcessor.configurableProcUnits,SystemMemory.totalMem,SystemMemory.availableMem,SystemMemory.configurableMem,SystemMemory.assignedMemToLpars,SystemMemory.virtualPersistentMem,PhysicalProcessorPool.assignedProcUnits,PhysicalProcessorPool.utilizedProcUnits,PhysicalProcessorPool.availableProcUnits,PhysicalProcessorPool.configuredProcUnits,PhysicalProcessorPool.borrowedProcUnits,SharedProcessorPool.id,SharedProcessorPool.name,SharedProcessorPool.assignedProcUnits,SharedProcessorPool.utilizedProcUnits,SharedProcessorPool.availableProcUnits,SharedProcessorPool.configuredProcUnits,SharedProcessorPool.borrowedProcUnits,SriovAdapter.drcIndex,SriovPhysicalPort.id,SriovPhysicalPort.physicalLocation,SriovPhysicalPort.receivedPackets,SriovPhysicalPort.sentPackets,SriovPhysicalPort.droppedPackets,SriovPhysicalPort.sentBytes,SriovPhysicalPort.receivedBytes,SriovPhysicalPort.errorIn,SriovPhysicalPort.errorOut,SriovPhysicalPort.transferredBytes,ViosUtil.id,ViosUtil.uuid,ViosUtil.name,ViosUtil.state,ViosUtil.affinityScore,ViosMemory.assignedMem,ViosMemory.utilizedMem,ViosMemory.virtualPersistentMem,ViosProcessor.poolId,ViosProcessor.weight,ViosProcessor.mode,ViosProcessor.maxVirtualProcessors,ViosProcessor.currentVirtualProcessors,ViosProcessor.maxProcUnits,ViosProcessor.entitledProcUnits,ViosProcessor.utilizedProcUnits,ViosProcessor.utilizedProcUnitsDeductIdle,ViosProcessor.utilizedCappedProcUnits,ViosProcessor.utilizedUncappedProcUnits,ViosProcessor.idleProcUnits,ViosProcessor.donatedProcUnits,ViosProcessor.timeSpentWaitingForDispatch,ViosProcessor.timePerInstructionExecution,ViosNetwork.clientLpars,NetworkGenericAdapter.id,NetworkGenericAdapter.type,NetworkGenericAdapter.physicalLocation,NetworkGenericAdapter.receivedPackets,NetworkGenericAdapter.sentPackets,NetworkGenericAdapter.droppedPackets,NetworkGenericAdapter.sentBytes,NetworkGenericAdapter.receivedBytes,NetworkGenericAdapter.transferredBytes,ViosSriovLogicalPort.drcIndex,ViosSriovLogicalPort.physicalLocation,ViosSriovLogicalPort.physicalDrcIndex,ViosSriovLogicalPort.physicalPortId,ViosSriovLogicalPort.clientPartitionUUID,ViosSriovLogicalPort.vnicDeviceMode,ViosSriovLogicalPort.configurationType,ViosSriovLogicalPort.receivedPackets,ViosSriovLogicalPort.sentPackets,ViosSriovLogicalPort.droppedPackets,ViosSriovLogicalPort.sentBytes,ViosSriovLogicalPort.receivedBytes,ViosSriovLogicalPort.errorIn,ViosSriovLogicalPort.errorOut,ViosSriovLogicalPort.transferredBytes,ViosStorage.clientLpars,GenericPhysicalAdapters.id,GenericPhysicalAdapters.type,GenericPhysicalAdapters.physicalLocation,GenericPhysicalAdapters.numOfReads,GenericPhysicalAdapters.numOfWrites,GenericPhysicalAdapters.readBytes,GenericPhysicalAdapters.writeBytes,GenericPhysicalAdapters.transmittedBytes,GenericVirtualAdapters.id,GenericVirtualAdapters.type,GenericVirtualAdapters.physicalLocation,GenericVirtualAdapters.numOfReads,GenericVirtualAdapters.numOfWrites,GenericVirtualAdapters.readBytes,GenericVirtualAdapters.writeBytes,GenericVirtualAdapters.transmittedBytes,FiberChannelAdapter.id,FiberChannelAdapter.wwpn,FiberChannelAdapter.physicalLocation,FiberChannelAdapter.numOfPorts,FiberChannelAdapter.numOfReads,FiberChannelAdapter.numOfWrites,FiberChannelAdapter.readBytes,FiberChannelAdapter.writeBytes,FiberChannelAdapter.runningSpeed,FiberChannelAdapter.transmittedBytes,EnergyThermalUtil.entityId,EnergyThermalUtil.entityInstance,EnergyThermalUtil.temperatureReading,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,12,0,-,-,-,-,-,-,-,-,-,-,-,-,3145728.000,494592.000,2621440.000,1928448.000,0.000,-,-,-,-,-,-,-,-,-,-,-,-,553714017,0,U78CD.001.FZHFZ34-P2-C1-T0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,12,0,-,-,-,-,-,-,-,-,-,-,-,-, 3145728.000, 494592.000, 2621440.000, 1928448.000, 0,-,-,-,-,-,-,-,-,-,-,-,-,553714017,0,U78CD.001.FZHFZ34-P2-C1-T0, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,12,0,-,-,-,-,-,-,-,-,-,-,-,-, 3145728.000, 494592.000, 2621440.000, 1928448.000, 0,-,-,-,-,-,-,-,-,-,-,-,-,553714017,0,U78CD.001.FZHFZ34-P2-C1-T0, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,U78CD.001.FZHFZ34-P2-C1-T1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,U78CD.001.FZHFZ34-P2-C1-T1, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,U78CD.001.FZHFZ34-P2-C1-T1, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,553714033,0,U78CD.001.FZHFZ39-P2-C1-T0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,553714033,0,U78CD.001.FZHFZ39-P2-C1-T0, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,553714033,0,U78CD.001.FZHFZ39-P2-C1-T0, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,U78CD.001.FZHFZ39-P2-C1-T1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
