MetricType,UtilInfo.version,UtilInfo.metricType,UtilInfo.frequency,UtilInfo.mtms,UtilInfo.name,UtilInfo.uuid,SampleInfo.timeStamp,SampleInfo.numOfSamplesAggregated,SampleInfo.status,ViosUtil.id,ViosUtil.uuid,ViosUtil.name,ViosUtil.state,EnergyPowerUtil.powerReading,EnergyThermalUtil.entityId,EnergyThermalUtil.entityInstance,EnergyThermalUtil.temperatureReading,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,12,0,-,-,-,-,1362.075,1,Inlet,22.101,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,12,0,-,-,-,-, 1306,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-04-30T00:00:00-0500,12,0,-,-,-,-, 1477,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-01T00:00:00-0500,12,0,-,-,-,-,1364.761,1,Inlet,22.198,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-01T00:00:00-0500,12,0,-,-,-,-, 1307,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-01T00:00:00-0500,12,0,-,-,-,-, 1484,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-02T00:00:00-0500,12,0,-,-,-,-,1361.637,1,Inlet,22.123,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-02T00:00:00-0500,12,0,-,-,-,-, 1314,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-02T00:00:00-0500,12,0,-,-,-,-, 1473,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-03T00:00:00-0500,12,0,-,-,-,-,1356.085,1,Inlet,22.081,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-03T00:00:00-0500,12,0,-,-,-,-, 1308,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-03T00:00:00-0500,12,0,-,-,-,-, 1470,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-04T00:00:00-0500,12,0,-,-,-,-,1361.506,1,Inlet,22.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-04T00:00:00-0500,12,0,-,-,-,-, 1307,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-04T00:00:00-0500,12,0,-,-,-,-, 1504,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-05T00:00:00-0500,12,0,-,-,-,-,1369.441,1,Inlet,22.020,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-05T00:00:00-0500,12,0,-,-,-,-, 1311,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-05T00:00:00-0500,12,0,-,-,-,-, 1483,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-06T00:00:00-0500,12,0,-,-,-,-,1371.988,1,Inlet,22.326,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-06T00:00:00-0500,12,0,-,-,-,-, 1323,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-06T00:00:00-0500,12,0,-,-,-,-, 1479,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-07T00:00:00-0500,12,0,-,-,-,-,1365.449,1,Inlet,22.477,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-07T00:00:00-0500,12,0,-,-,-,-, 1310,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-07T00:00:00-0500,12,0,-,-,-,-, 1485,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-08T00:00:00-0500,12,0,-,-,-,-,1361.382,1,Inlet,22.498,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-08T00:00:00-0500,12,0,-,-,-,-, 1302,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-08T00:00:00-0500,12,0,-,-,-,-, 1478,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-09T00:00:00-0500,12,0,-,-,-,-,1366.020,1,Inlet,22.617,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-09T00:00:00-0500,12,0,-,-,-,-, 1313,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-09T00:00:00-0500,12,0,-,-,-,-, 1474,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-10T00:00:00-0500,12,0,-,-,-,-,1361.471,1,Inlet,22.128,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-10T00:00:00-0500,12,0,-,-,-,-, 1312,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-10T00:00:00-0500,12,0,-,-,-,-, 1476,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-11T00:00:00-0500,12,0,-,-,-,-,1370.564,1,Inlet,22.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-11T00:00:00-0500,12,0,-,-,-,-, 1312,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-11T00:00:00-0500,12,0,-,-,-,-, 1498,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-12T00:00:00-0500,12,0,-,-,-,-,1374.553,1,Inlet,22.674,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-12T00:00:00-0500,12,0,-,-,-,-, 1310,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-12T00:00:00-0500,12,0,-,-,-,-, 1478,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-13T00:00:00-0500,12,0,-,-,-,-,1363.913,1,Inlet,22.232,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-13T00:00:00-0500,12,0,-,-,-,-, 1320,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-13T00:00:00-0500,12,0,-,-,-,-, 1475,1,Inlet, 23,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-14T00:00:00-0500,12,0,-,-,-,-,1366.798,1,Inlet,22.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-14T00:00:00-0500,12,0,-,-,-,-, 1310,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-14T00:00:00-0500,12,0,-,-,-,-, 1478,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-15T00:00:00-0500,12,0,-,-,-,-,1361.009,1,Inlet,22.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-15T00:00:00-0500,12,0,-,-,-,-, 1318,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-15T00:00:00-0500,12,0,-,-,-,-, 1478,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-16T00:00:00-0500,12,0,-,-,-,-,1350.771,1,Inlet,22.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-16T00:00:00-0500,12,0,-,-,-,-, 1302,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-16T00:00:00-0500,12,0,-,-,-,-, 1483,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-17T00:00:00-0500,12,0,-,-,-,-,1345.520,1,Inlet,22.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-17T00:00:00-0500,12,0,-,-,-,-, 1294,1,Inlet, 22,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-17T00:00:00-0500,12,0,-,-,-,-, 1471,1,Inlet, 22,
