Partitions and VIOSs,Usage trends,OS type,Allocated,Avg allocated,Min/Max allocated,Assigned virtual persistent memory,Affinity score
PRD_OPRA_FC, ,IBMi,8,8,8.0/8.0, ,100
PRD_TDCA_FC, ,IBMi,8,8,8.0/8.0, ,100
PRD_KRAMER, ,IBMi,32,32,32.0/32.0, ,100
PRD_TDCA, ,IBMi,96,96,96.0/96.0, ,100
PRD_LINKA_FC, ,IBMi,8,8,8.0/8.0, ,100
PRD_LDCA_FC, ,IBMi,8,8,8.0/8.0, ,100
PRD_WSA, ,IBMi,160,160,160.0/160.0, ,100
PRD_ALLENEDM, ,IBMi,32,32,32.0/32.0, ,100
PRD_ECOMMA_FC, ,IBMi,8,8,8.0/8.0, ,100
PRD_DEVA, ,IBMi,128,128,128.0/128.0, ,100
PRD_PRODC, ,IBMi,8.5,8.5,8.5/8.5, ,100
PRD_AEDEV_FC, ,IBMi,8,8,8.0/8.0, ,100
PRD_LINKA, ,IBMi,272,272,272.0/272.0, ,100
PRD_OPRA, ,IBMi,30,30,30.0/30.0, ,100
PRD_DEVLG, ,IBMi,32,32,32.0/32.0, ,100
PRD_AEDEV, ,IBMi,3.5,3.5,3.5/3.5, ,100
PRD_PRODA, ,IBMi,305.25,305.25,305.25/305.25, ,100
PRD_DWA, ,IBMi,64,64,64.0/64.0, ,100
PRD_PRODA_FC, ,IBMi,8,8,8.0/8.0, ,100
PRD_DEVA_FC, ,IBMi,8,8,8.0/8.0, ,100
PRD_PRODN, ,IBMi, ,160, , ,100
PRD_DWA_FC, ,IBMi, ,8, , ,100
PRD_DEVLG_FC, ,IBMi, ,8, , ,100
PRD_LDCA, ,IBMi, ,128, , ,100
PRD_ALLENEDM_FC, ,IBMi, ,8, , ,100
PRD_WSA_FC, ,IBMi, ,8, , ,100
PRD_ECOMMA, ,IBMi, ,256, , ,100
PRD_PRODC_FC, ,IBMi, ,8, , ,100
PRD_PRODN_FC, ,IBMi, ,8, , ,100
SLO1080VIOS2, ,VIOS, ,12.143, , , 
SLO1080VIOS1, ,VIOS, ,11.373, , , 
