Partitions and VIOSs,Usage trends,OS type,Current usage,Avg usage,Entitled,Virtual processors,Max usage,Min usage,Donated,Dispatch wait time(minutes),Affinity score,Processor mode,Processor pool
PRD_OPRA_FC, ,IBMi,0.01,0.01,0.1,1,1, , ,0.001,100,Shared,DefaultPool
PRD_TDCA_FC, ,IBMi,0.01,0.02,0.1,1,0.98, , ,0.001,100,Shared,DefaultPool
PRD_KRAMER, ,IBMi,0.04,0.11,0.3,4,1, , ,0.001,100,Shared,DefaultPool
PRD_TDCA, ,IBMi,0.18,0.35,0.3,4,1,0.01, ,0.001,100,Shared,DefaultPool
PRD_LINKA_FC, ,IBMi,0.01,0.06,0.1,1,1, , ,0.001,100,Shared,DefaultPool
PRD_LDCA_FC, ,IBMi,0.01,0.03,0.1,1,1, , ,0.001,100,Shared,DefaultPool
PRD_WSA, ,IBMi,1,0.58,0.9,2,1,0.01, ,0.001,100,Shared,DefaultPool
PRD_ALLENEDM, ,IBMi,0.17,0.35,0.6,4,2,0.01, , ,100,Shared,DefaultPool
PRD_ECOMMA_FC, ,IBMi,0.01,0.03,0.1,1,1, , ,0.001,100,Shared,DefaultPool
PRD_DEVA, ,IBMi,0.03,0.56,0.6,2,1, , ,0.001,100,Shared,DefaultPool
PRD_PRODC, ,IBMi,1.61,1.27,1.2,4,2, , , ,100,Shared,DefaultPool
PRD_AEDEV_FC, ,IBMi,0.01,0.02,0.1,1,0.99, , ,0.001,100,Shared,DefaultPool
PRD_LINKA, ,IBMi,1.26,1.24,1.7,4,2,0.02, ,0.001,100,Shared,DefaultPool
PRD_OPRA, ,IBMi,0.03,0.05,0.2,2,1, , ,0.001,100,Shared,DefaultPool
PRD_DEVLG, ,IBMi,0.03,0.06,0.2,2,1, , ,0.001,100,Shared,DefaultPool
PRD_AEDEV, ,IBMi,0.03,0.09,0.2,2,1, , , ,100,Shared,DefaultPool
PRD_PRODA, ,IBMi,4.26,2.22,4.2,8,4.99,0.03, , ,100,Shared,DefaultPool
PRD_DWA, ,IBMi,0.03,0.2,0.8,4,1.99, , , ,100,Shared,DefaultPool
PRD_PRODA_FC, ,IBMi,0.01,0.05,0.1,1,1, , ,0.001,100,Shared,DefaultPool
PRD_DEVA_FC, ,IBMi,0.01,0.02,0.1,1,0.99, , ,0.001,100,Shared,DefaultPool
PRD_PRODN, ,IBMi,1.14,0.97,1.1,4,2,0.02, ,0.001,100,Shared,DefaultPool
PRD_DWA_FC, ,IBMi,0.01,0.03,0.1,1,0.99, , ,0.001,100,Shared,DefaultPool
PRD_DEVLG_FC, ,IBMi,0.01,0.02,0.1,1,0.99, , ,0.001,100,Shared,DefaultPool
PRD_LDCA, ,IBMi,0.27,0.27,0.6,2,1,0.02, , ,100,Shared,DefaultPool
PRD_ALLENEDM_FC, ,IBMi,0.01,0.03,0.1,1,0.99, , ,0.001,100,Shared,DefaultPool
PRD_WSA_FC, ,IBMi,0.01,0.04,0.1,1,1, , ,0.001,100,Shared,DefaultPool
PRD_ECOMMA, ,IBMi,1.66,1.53,1.7,4,2,0.02, ,0.001,100,Shared,DefaultPool
PRD_PRODC_FC, ,IBMi,0.01,0.02,0.1,1,1, , ,0.001,100,Shared,DefaultPool
PRD_PRODN_FC, ,IBMi,0.01,0.02,0.1,1,0.99, , ,0.001,100,Shared,DefaultPool
SLO1080VIOS2, ,VIOS,2,2,2,3,2,2, , , ,Dedicated,N.A.
SLO1080VIOS1, ,VIOS,2,2,2,3,2, , , , ,Dedicated,N.A.
