MetricType,UtilInfo.version,UtilInfo.metricType,UtilInfo.frequency,UtilInfo.mtms,UtilInfo.name,UtilInfo.uuid,SampleInfo.timeStamp,SampleInfo.numOfSamplesAggregated,SampleInfo.status,ViosUtil.id,ViosUtil.uuid,ViosUtil.name,ViosUtil.state,EnergyPowerUtil.powerReading,EnergyThermalUtil.entityId,EnergyThermalUtil.entityInstance,EnergyThermalUtil.temperatureReading,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-05T00:00:00-0600,12,0,-,-,-,-,1369.256,1,Inlet,21.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-05T00:00:00-0600,12,0,-,-,-,-, 1310,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-05T00:00:00-0600,12,0,-,-,-,-, 1484,1,Inlet, 21,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-06T00:00:00-0600,12,0,-,-,-,-,1368.232,1,Inlet,21.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-06T00:00:00-0600,12,0,-,-,-,-, 1306,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-06T00:00:00-0600,12,0,-,-,-,-, 1475,1,Inlet, 21,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-07T00:00:00-0600,12,0,-,-,-,-,1363.714,1,Inlet,21.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-07T00:00:00-0600,12,0,-,-,-,-, 1307,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-07T00:00:00-0600,12,0,-,-,-,-, 1479,1,Inlet, 21,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-08T00:00:00-0600,12,0,-,-,-,-,1370.505,1,Inlet,21.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-08T00:00:00-0600,12,0,-,-,-,-, 1308,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-08T00:00:00-0600,12,0,-,-,-,-, 1499,1,Inlet, 21,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-09T00:00:00-0600,12,0,-,-,-,-,1372.833,1,Inlet,21.000,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-09T00:00:00-0600,12,0,-,-,-,-, 1309,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-09T00:00:00-0600,12,0,-,-,-,-, 1494,1,Inlet, 21,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-10T00:00:00-0600,12,0,-,-,-,-,1371.484,1,Inlet,21.058,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-10T00:00:00-0600,12,0,-,-,-,-, 1320,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-10T00:00:00-0600,12,0,-,-,-,-, 1502,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-11T00:00:00-0600,12,0,-,-,-,-,1371.779,1,Inlet,21.464,
MIN,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-11T00:00:00-0600,12,0,-,-,-,-, 1306,1,Inlet, 21,
MAX,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-11T00:00:00-0600,12,0,-,-,-,-, 1496,1,Inlet, 22,
AVG,1.3.0,Aggregated,86400,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2025-12-12T00:00:00-0600,12,0,-,-,-,-,1361.673,1,Inlet,21.366,
