Partitions and VIOSs,Traffic trends,OS type,Traffic,Sent Packets,Received Packets,Sent,Received,Logical port location code,Physical port label,Port sub-label,Physical port ID,Capacity,Virtual NIC backing device
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T1-S11, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T1-S15, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T1-S16, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T1-S19, , , , ,true
SLO1080VIOS1, , ,1.088,774.702,106.902,1.054,0.034,U78CD.001.FZHFZ64-P1-C1-T1-S20, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T1-S23, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T1-S26, , , , ,true
SLO1080VIOS1, , ,0.119,12.873,86.597,0.003,0.116,U78CD.001.FZHFZ64-P1-C1-T1-S28, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T1-S31, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T1-S35, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T1-S39, , , , ,true
SLO1080VIOS1, , ,0.004,2.405,3.862,0.001,0.003,U78CD.001.FZHFZ64-P1-C1-T1-S41, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T1-S5, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T1-S54, , , , ,true
SLO1080VIOS1, , ,0.200,236.692,176.584,0.167,0.033,U78CD.001.FZHFZ64-P1-C1-T1-S7, , , , ,true
SLO1080VIOS1, , ,0.002,1.701,2.148,0.002,0.000,U78CD.001.FZHFZ64-P1-C1-T0-S1, , , , , 
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T0-S10, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T0-S12, , , , ,true
SLO1080VIOS1, , ,0.000, , ,0.000,0.000,U78CD.001.FZHFZ64-P1-C1-T0-S13, , , , ,true
