Physical port ID,Physical port location code,Traffic trends,Traffic,Sent Packets,Received Packets,Sent,Received,Physical port label,Port sub-label,Partition / VIOSs
 ,U78CD.001.FZHFZ39-P2-C1-T0, ,0.000, , ,0.000,0.000, , , 
 ,U78CD.001.FZHFZ34-P1-C1-T1, ,4.380,5625.457,3806.795,2.989,1.391, , ,1
 ,U78CD.001.FZHFZ39-P2-C1-T1, ,0.000, , ,0.000,0.000, , , 
 ,U78CD.001.FZHFZ34-P1-C1-T0, ,0.098,77.422,381.687,0.038,0.060, , ,1
 ,U78CD.001.FZHFZ64-P1-C1-T1, ,1.440,1026.706,629.263,1.233,0.207, , ,1
 ,U78CD.001.FZHFZ64-P2-C1-T1, ,0.000, , ,0.000,0.000, , , 
 ,U78CD.001.FZHFZ64-P1-C1-T0, ,0.145,111.908,399.297,0.088,0.058, , ,1
 ,U78CD.001.FZHFZ64-P2-C1-T0, ,0.000, , ,0.000,0.000, , , 
 ,U78CD.001.FZHFZ41-P2-C1-T1, ,0.000, , ,0.000,0.000, , , 
 ,U78CD.001.FZHFZ41-P2-C1-T0, ,0.000, , ,0.000,0.000, , , 
 ,U78CD.001.FZHFZ34-P2-C1-T1, ,0.000, , ,0.000,0.000, , , 
 ,U78CD.001.FZHFZ39-P1-C1-T0, ,0.736,886.694,879.423,0.546,0.190, , ,1
 ,U78CD.001.FZHFZ41-P1-C1-T0, ,0.279,309.241,529.79,0.180,0.099, , ,1
 ,U78CD.001.FZHFZ34-P2-C1-T0, ,0.000, , ,0.000,0.000, , , 
 ,U78CD.001.FZHFZ39-P1-C1-T1, ,0.102,79.171,332.901,0.048,0.054, , ,1
 ,U78CD.001.FZHFZ41-P1-C1-T1, ,0.135,97.128,359.977,0.061,0.074, , ,1
